AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program,Depth
wwmsp2sg_MerseyPoint,MerseyPoint,Mersey Point,Mersey Point,-1,-1,-32.31039,115.70226,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-2.2
wwmsp2sg_MS1,MS1,MS 1,MS 1,-1,-1,-33.60164098,115.136821,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-10.3
wwmsp2sg_MS2,MS2,MS 2,MS 2,-1,-1,-33.62425997,115.203746,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-8.3
wwmsp2sg_MS3,MS3,MS 3,MS 3,-1,-1,-33.62756697,115.295172,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-9.7
wwmsp2sg_MS4,MS4,MS 4,MS 4,-1,-1,-33.57941201,115.41239,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-10.3
wwmsp2sg_MS6,MS6,MS 6,MS 6,-1,-1,-33.60354099,115.360377,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-10.4
wwmsp2sg_Mullaloo,Mullaloo,Mullaloo,Mullaloo,-1,-1,-31.781429,115.725362,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-10.3
wwmsp2sg_NorthBeach,NorthBeach,North Beach,North Beach,-1,-1,-31.841652,115.735461,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-8.9
wwmsp2sg_OceanReefInner,OceanReefInner,Ocean Reef Inner,Ocean Reef Inner,-1,-1,-31.761218,115.723089,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,
wwmsp2sg_OceanReefOuter,OceanReefOuter,Ocean Reef Outer,Ocean Reef Outer,-1,-1,-31.774018,115.717537,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-8.9
wwmsp2sg_OS1,OS1,OS 1,OS 1,-1,-1,-33.59011201,115.150849,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-18
wwmsp2sg_OS2,OS2,OS 2,OS 2,-1,-1,-33.597905,115.211634,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-16.2
wwmsp2sg_OS3,OS3,OS 3,OS 3,-1,-1,-33.594655,115.291166,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-16.4
wwmsp2sg_OS4,OS4,OS 4,OS 4,-1,-1,-33.54436702,115.369983,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-16.1
