SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61402340,61402340,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020256 [WIN_ID]; 2033-1-NW-0670 [AQWAB]; 61402340 [SITE_REF],,50,385135,6450276,-32.07795177,115.7829314,GDA94
61402341,61402341,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020257 [WIN_ID]; 2033-1-NW-0671 [AQWAB]; 61402341 [SITE_REF],,50,385095,6449322,-32.0865525,115.7823936,GDA94
61402342,61402342,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020259 [WIN_ID]; 2033-1-NW-0673 [AQWAB]; 61402342 [SITE_REF],,50,384403,6449129,-32.08822262,115.7750388,GDA94
61402343,61402343,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020260 [WIN_ID]; 2033-1-NW-0674 [AQWAB]; 61402343 [SITE_REF],,50,385649,6448462,-32.09436572,115.7881606,GDA94
61402344,61402344,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020261 [WIN_ID]; 2033-1-NW-0675 [AQWAB]; 61402344 [SITE_REF],,50,385735,6448045,-32.09813566,115.7890222,GDA94
61402345,61402345,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020262 [WIN_ID]; 2033-1-NW-0676 [AQWAB]; 61402345 [SITE_REF],,50,385509,6447807,-32.10025943,115.7865991,GDA94
61402347,61402347,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020264 [WIN_ID]; 2033-1-NW-0678 [AQWAB]; 61402347 [SITE_REF],,50,386233,6447622,-32.10200134,115.7942489,GDA94
61402349,61402349,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020320 [WIN_ID]; 2033-1-NW-0734 [AQWAB]; 61402349 [SITE_REF],,50,385215,6450979,-32.07161904,115.7838628,GDA94
61402352,61402352,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020335 [WIN_ID]; 2033-1-NW-0749 [AQWAB]; 61402352 [SITE_REF],,50,385706,6447210,-32.10566417,115.7886155,GDA94
61402353,61402353,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No6,No6,20020346 [WIN_ID]; 2033-1-NW-0760 [AQWAB]; 61402353 [SITE_REF],,50,385731,6449514,-32.08488529,115.7891546,GDA94
