Site,Var,size,Datestart,DateEn,SizeOfArrayRemoved
BOM_BARRA_TFV_FL_Floating_193,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_194,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_195,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_196,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_197,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_198,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_199,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_200,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_201,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_202,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_SP_Floating_203,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_204,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_205,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_206,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_207,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_208,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_209,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_210,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WN_Floating_211,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_212,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_213,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_214,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_215,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_216,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_217,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_218,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_WT001_Floating_219,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_matilda_Floating_220,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_matilda_Floating_221,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_matilda_Floating_222,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_matilda_Floating_223,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_matilda_Floating_224,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_matilda_Floating_225,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
