Var1,Var2,Var3
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW024_ECond_DATA.csv,Beach porewater,2022-11-29 10:18:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW025_ECond_DATA.csv,Beach porewater,2022-11-29 10:30:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW026_ECond_DATA.csv,Beach porewater,2022-11-29 10:47:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW027_ECond_DATA.csv,Beach porewater,2022-11-29 11:04:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW028_ECond_DATA.csv,Beach porewater,2022-11-29 11:17:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW029_ECond_DATA.csv,Beach porewater,2022-11-29 11:29:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW030_ECond_DATA.csv,Beach porewater,2022-11-29 11:49:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW031_ECond_DATA.csv,Beach porewater,2022-11-29 12:00:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW032_ECond_DATA.csv,Beach porewater,2022-11-29 12:35:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW033_ECond_DATA.csv,Beach porewater,2022-11-29 12:53:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW034_ECond_DATA.csv,Beach porewater,2022-11-29 13:07:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW035_ECond_DATA.csv,Beach porewater,2022-11-29 13:19:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW036_ECond_DATA.csv,Beach porewater,2022-11-29 13:34:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW036_ECond_DATA.csv,Beach porewater,2022-11-29 13:35:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW037_ECond_DATA.csv,Beach porewater,2022-11-29 13:47:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW038_ECond_DATA.csv,Beach porewater,2022-11-29 14:05:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW039_ECond_DATA.csv,Beach porewater,2022-11-29 14:15:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW040_ECond_DATA.csv,Beach porewater,2022-11-29 14:25:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW041_ECond_DATA.csv,Beach porewater,2022-11-29 14:33:59
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW042_ECond_DATA.csv,Beach porewater,2022-11-29 14:45:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW015_ECond_DATA.csv,Beach porewater,2022-11-29 15:33:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW015_ECond_DATA.csv,Seawater,2022-11-29 15:35:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW043_ECond_DATA.csv,Beach porewater,2023-01-17 09:41:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW044_ECond_DATA.csv,Beach porewater,2023-01-17 09:54:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW045_ECond_DATA.csv,Beach porewater,2023-01-17 10:01:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW046_ECond_DATA.csv,Beach porewater,2023-01-17 10:10:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW047_ECond_DATA.csv,Beach porewater,2023-01-17 10:22:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW048_ECond_DATA.csv,Beach porewater,2023-01-17 10:31:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW049_ECond_DATA.csv,Beach porewater,2023-01-17 10:39:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW050_ECond_DATA.csv,Beach porewater,2023-01-17 10:46:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW051_ECond_DATA.csv,Beach porewater,2023-01-17 11:00:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW051_ECond_DATA.csv,Beach porewater,2023-01-17 11:01:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW052_ECond_DATA.csv,Beach porewater,2023-01-17 11:09:59
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW053_ECond_DATA.csv,Beach porewater,2023-01-17 11:19:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW054_ECond_DATA.csv,Beach porewater,2023-01-17 11:31:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW055_ECond_DATA.csv,Beach porewater,2023-01-17 11:40:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW056_ECond_DATA.csv,Beach porewater,2023-01-17 11:48:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW057_ECond_DATA.csv,Beach porewater,2023-01-17 12:46:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW058_ECond_DATA.csv,Beach porewater,2023-01-17 12:56:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW059_ECond_DATA.csv,Beach porewater,2023-01-17 13:03:00
