AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
csiro_597q,597q,597q,597q,-1,-1,-31.4834,114.9062,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_599a,599a,599a,599a,-1,-1,-32,115.4167,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_786a,786a,786a,786a,-1,-1,-33,114.92,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_786b,786b,786b,786b,-1,-1,-31.76,115.02,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_786c,786c,786c,786c,-1,-1,-31.62,115.36,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_788a,788a,788a,788a,-1,-1,-31.65,114.97,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795a,795a,795a,795a,-1,-1,-32.3333,115.6548,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795b,795b,795b,795b,-1,-1,-32.291,115.6548,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795c,795c,795c,795c,-1,-1,-32.2458,115.6583,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795d,795d,795d,795d,-1,-1,-32.1667,115.6433,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795e,795e,795e,795e,-1,-1,-31.8017,115.7075,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795f,795f,795f,795f,-1,-1,-31.7642,115.7075,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795g,795g,795g,795g,-1,-1,-31.7333,115.69,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_795h,795h,795h,795h,-1,-1,-31.6933,115.6742,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
imos_nrsrot_bgc,NRSROT,Rottnest Island,Rottnest Island,-1,-1,-32,115.4167,IMOS,Integrated Marine Observing System,ECO_plankton,Phytoplankton cell counts,,,IMOS REFSTN
wc_psdp_WC1,WC1,WC1,WC1,383219,6436947,-32.198,115.761,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC2,WC2,WC2,WC2,383465,6437515,-32.193,115.764,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC3,WC3,WC3,WC3,383465,6436810,-32.199,115.764,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC4,WC4,WC4,WC4,376829,6441686,-32.155,115.694,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC5,WC5,WC5,WC5,379337,6436947,-32.198,115.72,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC6,WC6,WC6,WC6,378141,6421345,-32.338,115.705,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC7,WC7,WC7,WC7,379741,6421498,-32.337,115.722,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_psdp_WC8,WC8,WC8,WC8,372954,6443318,-32.139,115.653,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT282
wc_ploom_OR11,OR11,OR11,OR11,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR15,OR15,OR15,OR15,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
